id,value
696,20
697,82
698,21
699,77
700,7
701,86
702,66
703,95
704,58
705,13
706,54
707,95
708,69
709,52
710,38
711,5
712,83
713,65
714,34
715,91
716,47
717,11
718,16
719,93
720,14
721,84
722,63
723,48
724,11
725,24
726,64
727,1
728,19
729,34
730,79
731,42
732,77
733,83
734,92
735,27
736,66
737,35
738,49
739,88
740,98
741,97
742,29
743,72
744,95
745,61
746,18
747,33
748,93
749,30
750,94
751,53
752,52
753,61
754,40
755,96
756,90
757,4
758,82
759,58
760,48
761,8
762,62
763,49
764,95
765,97
766,58
767,70
768,24
769,27
770,34
771,74
772,28
773,15
774,80
775,55
776,57
777,16
778,34
779,81
780,57
781,98
782,90
783,27
784,98
785,38
786,52
787,71
788,3
789,7
790,29
791,82
792,86
793,11
794,67
795,43
796,30
797,58
798,83
799,82
800,59
801,93
802,52
803,17
804,93
805,90
806,35
807,38
808,98
809,73
810,28
811,17
812,34
813,1
814,46
815,2
816,94
817,8
818,64
819,48
820,6
821,92
822,88
823,48
824,23
825,41
826,68
827,100
828,76
829,49
830,24
831,13
832,43
833,32
834,47
835,83
836,2
837,5
838,99
839,25
840,46
841,29
842,89
843,29
844,73
845,22
846,74
847,27
848,39
849,73
850,82
851,9
852,71
853,57
854,84
855,47
856,3
857,97
858,64
859,31
860,68
861,58
862,17
863,6
864,59
865,64
866,79
867,6
868,35
869,64
870,4
871,34
872,64
873,46
874,3
875,93
876,38
877,100
878,57
879,57
880,17
881,99
882,68
883,11
884,62
885,92
886,74
887,66
888,75
889,69
890,7
891,45
892,75
893,61
894,94
895,8
896,52
897,36
898,51
899,44
900,10
901,17
902,41
903,73
904,90
905,47
906,74
907,38
908,32
909,92
910,21
911,13
912,95
913,85
914,99
915,89
916,100
917,11
918,12
919,61
920,1
921,88
922,7
923,56
924,35
925,32
926,95
927,31
928,20
929,83
930,68
931,72
932,89
933,81
934,36
935,16
936,78
937,56
938,23
939,29
940,78
941,58
942,11
943,18
944,93
945,90
946,57
947,45
948,7
949,92
950,98
951,51
952,26
953,33
954,33
955,28
956,64
957,3
958,23
959,29
960,85
961,15
962,42
963,2
964,21
965,88
966,37
967,3
968,47
969,5
970,31
971,65
972,89
973,13
974,90
975,19
976,78
977,53
978,20
979,4
980,85
981,81
982,88
983,23
984,72
985,44
986,6
987,38
988,11
989,60
990,91
991,46
992,90
993,51
994,49
995,24
996,75
997,38
998,37
999,73
